iata,name,lat,lon,country,
RNS,Rennes Saint-Jacques Airport,48.071941,-1.73222,France,
RNO,Reno Tahoe International Airport,39.499111,-119.767998,United States,
RNT,Renton Municipal Airport,47.493301,-122.215698,United States,
RES,Resistencia International Airport,-27.4499,-59.056099,Argentina,
YRB,Resolute Bay Airport,74.716942,-94.969398,Canada,
RER,Retalhuleu Airport,14.521208,-91.697296,Guatemala,
QKR,Retford Gamston Airport,53.280556,-0.951389,United Kingdom,
REU,Reus Airport,41.147388,1.167172,Spain,
YRV,Revelstoke Airport,50.962223,-118.184441,Canada,
RXE,Rexburg Madison County Airport,43.8339,-111.805,United States,
RKV,Reykjavik Airport,64.12999,-21.9405,Iceland,
REX,Reynosa General Lucio Blanco International Airport,26.0089,-98.2285,Mexico,
RHI,Rhinelander Oneida County Airport,45.631191,-89.4674,United States,
RHO,Rhodes International Airport,36.405411,28.086189,Greece,
RAO,Ribeirao Preto Leite Lopes Airport,-21.1341,-47.774101,Brazil,
RIB,Riberalta Airport,-11.0105,-66.116669,Bolivia,
RIE,Rice Lake Regional Airport,45.415775,-91.772942,United States,
RCB,Richards Bay Airport,-28.740999,32.09211,South Africa,
RLD,Richland Airport,46.308334,-119.305557,United States,
RCM,Richmond Airport,-20.7019,143.1147,Australia,
RIC,Richmond Airport,37.505161,-77.319603,United States,
RID,Richmond Municipal Airport,39.756111,-84.842781,United States,
IES,Riesa Göhlis Airport,51.29361,13.356111,Germany,
RIX,Riga International Airport,56.923611,23.971109,Latvia,
YRG,Rigolet Airport,54.179443,-58.457222,Canada,
RJK,Rijeka Airport,45.216881,14.57026,Croatia,
RMT,Rimatara Airport,-22.629999,-152.800003,French Polynesia,
RMI,Rimini Federico Fellini Airport,44.02029,12.61174,Italy,
YXK,Rimouski Airport,48.477734,-68.496071,Canada,
RBR,Rio Branco International Airport,-9.86915,-67.893997,Brazil,
RCU,Rio Cuarto Las Higueras Airport,-33.085098,-64.261299,Argentina,
GIG,Rio de Janeiro Galeao International Airport,-22.808901,-43.243599,Brazil,
RRJ,Rio de Janeiro Jacarepagua Airport,-22.986769,-43.372169,Brazil,
SDU,Rio de Janeiro Santos Dumont,-22.9104,-43.163101,Brazil,
RGL,Rio Gallegos International Airport,-51.608799,-69.312599,Argentina,
RGA,Rio Grande International Airport,-53.777599,-67.749298,Argentina,
RIH,Rio Hato Scarlett Martinez International Airport,8.371162,-80.127876,Panama,
RVD,Rio Verde Airport,-17.834723,-50.956112,Brazil,
RCH,Riohacha Almirante Padilla Airport,11.52355,-72.927101,Colombia,
RIJ,Rioja Juan Simons Vela Airport,-6.067903,-77.159744,Peru,
RIS,Rishiri Airport,45.242001,141.186401,Japan,
RIR,Riverside Flabob Airport,33.98888,-117.40947,United States,
RIV,Riverside March Air Reserve Base,33.881283,-117.259819,United States,
RAL,Riverside Municipal Airport,33.952236,-117.443581,United States,
RIW,Riverton Regional Airport,43.064445,-108.456947,United States,
YRI,Riviere du Loup Airport,47.764439,-69.584702,Canada,
RWN,Rivne International Airport,50.599998,26.15,Ukraine,
RUH,Riyadh King Khalid International Airport,24.95764,46.698769,Saudi Arabia,
RZV,Rize Artvin Airport,41.180119,40.849251,Turkey,
RIZ,Rizhao Shanzihe Airport,35.399723,119.316666,China,
RNE,Roanne Renaison Airport,46.052711,3.999614,France,
ROA,Roanoke Regional Airport,37.32,-79.970001,United States,
RTB,Roatan International Airport,16.316811,-86.522903,Honduras,
YRJ,Roberval Airport,48.52,-72.265503,Canada,
RCO,Rochefort Saint Agnant Air Base,45.889519,-0.98239,France,
RCS,Rochester Airport,51.351898,0.503333,United Kingdom,
RCR,Rochester Fulton County Airport,41.065601,-86.181702,United States,
ROC,Rochester International Airport,43.118858,-77.672302,United States,
RST,Rochester International Airport,43.908272,-92.5,United States,
RKH,Rock Hill York County Airport,34.987778,-81.05722,United States,
RSD,Rock Sound International Airport,24.891701,-76.177696,Bahamas,
RKS,Rock Springs Sweetwater County Airport,41.59639,-109.065834,United States,
ROK,Rockhampton Airport,-23.381901,150.475204,Australia,
RKD,Rockland Knox County Regional Airport,44.059166,-69.098053,United States,
RKP,Rockport Aransas County Airport,28.086111,-97.04361,United States,
RWI,Rocky Mount Wilson Airport,35.854443,-77.890556,United States,
RDZ,Rodez Marcillac Airport,44.407501,2.483333,France,
RRG,Rodrigues Island Plaine Corail Airport,-19.757601,63.360981,Mauritius,
ROG,Rogers Municipal Airport,36.372223,-94.106667,United States,
ROI,Roi Et Airport,16.1168,103.774002,Thailand,
VIH,Rolla National Airport,38.127743,-91.772751,United States,
RMA,Roma Airport,-26.545,148.774719,Australia,
CIA,Rome Ciampino Airport,41.799358,12.59493,Italy,
RME,Rome Griffiss International Airport,43.233799,-75.406998,United States,
FCO,Rome Leonardo da Vinci Fiumicino Airport,41.80447,12.25079,Italy,
RMG,Rome Richard B. Russell Airport,34.349998,-85.150002,United States,
QIU,Rome Urbe Airport,41.952232,12.502346,Italy,
LOT,Romeoville Lewis University Airport,41.607224,-88.096107,United States,
ROO,Rondonopolis Airport,-16.585278,-54.724167,Brazil,
RNB,Ronneby Airport,56.266659,15.265,Sweden,
RRS,Roros Airport,62.578411,11.34234,Norway,
RVK,Rorvik Airport,64.838333,11.146111,Norway,
ROS,Rosario Islas Malvinas International Airport,-32.903599,-60.785,Argentina,
DCF,Roseau Canefield Airport,15.33671,-61.3922,Dominica,
ROX,Roseau Municipal Airport,48.856598,-95.6978,United States,
RBG,Roseburg Regional Airport,43.238827,-123.358009,United States,
RKE,Roskilde Airport,55.58556,12.13142,Denmark,
RET,Rost Airport,67.527771,12.10333,Norway,
RLG,Rostock Laage Airport,53.917999,12.278,Germany,
ROV,Rostov-on-Don Platov International Airport,47.493889,39.924721,Russia,
ROW,Roswell International Air Center Airport,33.301552,-104.529999,United States,
